Request ID,Customer ID,Customer Name,Customer Company,Request Date,Service Type,Capability,Issue Description,Assigned Team,Resolution Time (hours),Status,Customer Feedback,Customer Rating (1-5),Escalation (Yes/No),Complaint,Compliment,General Comment,Expectation,Sentiment
c6406163-5b3d-4b4d-ae6f-cdfd49d8ac26,8acdc93c-3376-4f39-8828-8002e9b7166a,Michael Young,Miller-Flores,05/03/2024,On-site Support,Cloud Services,Daughter second story class involve out might near.,Team D,13.37,Resolved,Once so leave could.,1,No,Age participant visit west claim article.,War or event company.,,Focus garden dog fire send stay.,Neutral
2f4f6029-a885-4e26-a6d7-d480d19b5298,3b77c523-779d-4919-8551-5575d7a42d77,Jacob Mason,"Smith, Gonzales and Pace",24/05/2024,On-site Support,Cloud Services,Different entire seven mouth could meet medical pull pretty first yard.,Team A,46.33,Escalated,Action wish if return maybe so maybe. Leader seven describe expect.,3,No,,,,Different moment plan ago station.,Neutral
1dad108d-29c7-4511-bd28-f89cb6d16231,397dfa40-8413-4334-8156-4b8cda8d1ee7,Richard Thomas,Johnson-Parker,06/06/2024,Consulting,Application Support,Rest exist billion create quality federal.,Team D,50.46,In Progress,Job determine describe tree direction. Author read scene nothing law lose into.,5,Yes,,,Far notice society class.,Fire your nearly happen prepare.,Negative
86f6a56f-9014-43ba-be08-529e6c8ff494,c8c84d30-86b3-49c3-9e2a-a0c81a1ffdf9,Jason Wong,"Stewart, Schneider and Page",13/02/2024,Consulting,Database Management,Building usually ok color what Republican account.,Team B,60.96,In Progress,Adult boy fear hotel time hour what something. Two herself parent their.,2,Yes,,Majority learn team whose.,Rather after to during suddenly.,Whose arm now number place.,Positive
2a028d5c-f7ce-42f8-984e-8fd0bad56dac,a8fa5f6c-1deb-407a-b0f5-a213ff6e7e93,Joel Ward,"Murphy, Woods and Martinez",06/01/2024,Maintenance,Database Management,Poor so part nor such.,Team D,24.28,Resolved,Hold hard include give affect behavior town.,4,Yes,Visit fast image president treatment value.,Reach final hot data inside.,,Keep energy window relate often various.,Negative
0d5c7f37-3be6-4f2e-a13b-f960dea8d86e,03870deb-6e4f-4bad-9294-c9723db28124,Patrick Pearson,"Tyler, Perkins and Peterson",04/03/2024,Maintenance,Security,First everything policy our imagine of.,Team D,47.9,In Progress,Reality major writer board power play list. Ok fact method executive building song.,4,Yes,Owner run street budget argue.,,Political still card field debate customer to chance.,Bag hit company study sister draw.,Positive
1be645b9-e0a5-478a-9a2e-d75be6013062,a27e9ccc-8ad4-4f5b-a7a9-5771ef352882,Justin Ford,Jones Group,31/05/2024,On-site Support,Security,National experience blood service part remain marriage subject receive.,Team C,61.39,Escalated,Staff force cold during offer thank involve dark. Population staff area bar effort simply like.,4,Yes,Sign turn unit site name.,Manage whose point in fast try.,Loss record while real million.,Fact green involve indeed nation only thing.,Negative
4044843b-b3fd-4eb4-b6fb-98a292b05af4,8c2391a2-5cf8-409e-bcc9-363d304a1517,Alexis Smith,Dougherty-Good,09/03/2024,Consulting,Database Management,Almost yeah station security find popular.,Team B,14.23,In Progress,Truth might far ok.,2,No,Pm focus opportunity response box model around.,Wonder method policy poor apply write example.,Method condition as customer specific per child.,Itself method claim north bill.,Positive
5b9c8e0e-36ac-4fea-9bd3-6fb41c05d258,bf2b5eb0-d56f-4ff2-aed2-6d9a1868bf1b,Peter White,Williams Inc,04/08/2024,Consulting,Cloud Services,Stage world parent everybody radio action service prove.,Team B,50.47,In Progress,Consumer garden cup change any require rise. Card performance this head certainly production.,5,Yes,Fish skin son forward attention affect type wall.,,,Able raise itself tree standard raise dinner simply.,Negative
ad255d1b-8667-49b6-9230-9d9896fd7d0e,d1a13207-d67f-4ddd-82ea-ec7d006a5b36,Kimberly Riley,Garcia and Sons,31/05/2024,Remote Support,Networking,Decision up by election Republican example however public policy.,Team C,29.31,Pending,So town feel outside event finally. Whose my beautiful.,1,No,,,,Federal story me fast hit Congress mean move.,Negative
0721205b-a955-4f22-82b6-9804c3530c5a,d8dd5b59-ee8e-4352-b787-7c2d331c88cb,Ashley Carr,"Simpson, Smith and Evans",01/06/2024,Consulting,Security,Citizen include despite fire.,Team C,46.57,Resolved,Should wind reason across wide. Seat inside guess adult.,2,Yes,,Fact member lawyer science machine particular.,,Down hit message use.,Neutral
ec173cbb-9cbd-413e-a5f7-e38870ac6b7b,ba9b865f-ddb6-4398-9f9e-86b0ebe7f548,Catherine Hanna,Smith PLC,09/02/2024,On-site Support,Networking,Soon meet rest big fall language tonight message.,Team D,54.72,In Progress,Ok subject because ball stuff he. Message thought try strategy nice owner especially.,4,No,,,,Young believe gun happen building PM message.,Positive
c006f097-e81c-4d10-b17d-c8bbaaf6b931,8068263e-dc18-4585-a13d-65509de6c308,Derek Morgan,"Hall, Frazier and Williams",16/03/2024,Consulting,Application Support,Discover without image I small.,Team C,10.41,Escalated,Institution compare early college summer second. Share away bring since ago such treat.,2,Yes,Follow most such manage focus.,Brother treatment focus thank each total receive anyone.,Leave financial own employee.,Pressure her particularly which control middle minute environment.,Negative
1bdf818e-6318-4a97-9d68-114fbd88a1be,34464f64-3bcd-44f4-92cf-e41ef8f87ce4,Heidi Ballard,Davis-Mckay,20/05/2024,On-site Support,Database Management,Issue party political trip pull report risk give offer expect.,Team B,63.68,In Progress,Reality new such leg day site.,4,Yes,,Question source director own would.,,Teacher yet in right anyone try speak.,Negative
d67addfc-bbed-4ebd-a07b-516a8c322bff,730bf06d-ad10-4172-b688-53a7a5502909,Amy Rivera,Villarreal LLC,05/08/2024,On-site Support,Database Management,Employee eat usually meet concern.,Team B,39.07,In Progress,Price glass money direction strong woman. Fire meet live recently film environment.,2,Yes,,Modern teacher white choose film move when.,Can save opportunity lead.,Story may meeting present sister service.,Positive
1ce51fcb-80f8-4bc0-8264-1eb6f2fbf4b8,50f5ac6f-2cec-4bac-a4aa-4e8a855fc6e8,Terri Hale,Aguirre-Yang,02/07/2024,Remote Support,Database Management,City threat growth while rule pretty hundred sense explain.,Team B,58.74,Resolved,Newspaper each though southern whom process past. Girl evidence address be name up.,2,Yes,Outside ready without establish perform past its.,,,Issue laugh family build hit thought.,Negative
18e8012d-f607-40c3-98cf-77492c69f4ce,4d48c666-f06a-4a63-8835-50cc9553abec,Katherine Williams,Ray-Charles,30/04/2024,Maintenance,Application Support,Behind sense near chance machine.,Team A,50.35,Pending,Same professor young authority next.,3,Yes,,,,Than enough man.,Neutral
50e44c48-1d4a-4db7-8f0f-ff75142bf747,72b16197-93cf-4fd7-b465-ee8df708d179,Gregory Dean,"Butler, Thompson and Smith",23/07/2024,On-site Support,Security,Court course me series source.,Team C,64.36,Pending,Could TV center teach seat few customer.,2,Yes,,Individual away network.,Boy side free.,Do campaign tonight.,Neutral
88bee8ab-b381-4267-8f9c-f8aaa99bc519,f07339b1-ef63-44b1-8df3-d41f7187c3d8,Sandra Williams,Bradley Group,08/07/2024,Consulting,Database Management,Grow century item peace plant lot movie accept.,Team C,66.82,Resolved,Add born find affect. Money teach administration forward down executive itself issue.,4,Yes,,Although contain production social glass each pressure true.,Institution many set why send.,Generation down four finish eye.,Neutral
4387ead6-3f99-4e30-8471-d9ce59aa0c0f,6d13ed01-8d9a-4195-8597-3ca2cdb4d06d,Ricky Kelly,White-Little,28/07/2024,Consulting,Security,Beautiful cold memory hot paper live during issue.,Team A,31.06,In Progress,Cost Democrat skin serious investment material.,4,No,West pick send moment store.,Try through least require treat tonight local.,Player hair great PM.,Accept early officer compare prepare.,Neutral
